Dataset: IMDB-BINARY, Model: GCN, Seed: 1314, Aug: Vanilla, Best epoch: 136, Test acc: 0.7, Test loss: 0.7623654270172119, Val acc: 0.68, Val loss: 1.1393622159957886
Dataset: IMDB-BINARY, Model: GCN, Seed: 51314, Aug: G-Mixup, Best epoch: 15, Test acc: 0.72, Test loss: 0.5617606711387634, Val acc: 0.84, Val loss: 0.41506698727607727
Dataset: IMDB-BINARY, Model: GCN, Seed: 51314, Aug: Subgraph, Best epoch: 8, Test acc: 0.7, Test loss: 0.5950909328460693, Val acc: 0.85, Val loss: 0.3936949074268341
Dataset: IMDB-BINARY, Model: GCN, Seed: 51314, Aug: DropEdge, Best epoch: 18, Test acc: 0.715, Test loss: 0.6290116882324219, Val acc: 0.83, Val loss: 0.4374169409275055
Dataset: IMDB-BINARY, Model: GCN, Seed: 51314, Aug: DropNode, Best epoch: 20, Test acc: 0.735, Test loss: 0.5265577864646912, Val acc: 0.85, Val loss: 0.3980036973953247
Dataset: IMDB-BINARY, Model: GCN, Seed: 61314, Aug: Vanilla, Best epoch: 33, Test acc: 0.73, Test loss: 0.5296443843841553, Val acc: 0.8, Val loss: 0.482901930809021
Dataset: IMDB-BINARY, Model: GCN, Seed: 61314, Aug: G-Mixup, Best epoch: 30, Test acc: 0.74, Test loss: 0.4936921834945679, Val acc: 0.76, Val loss: 0.5265897512435913
Dataset: IMDB-BINARY, Model: GCN, Seed: 61314, Aug: Subgraph, Best epoch: 22, Test acc: 0.735, Test loss: 0.6451554036140442, Val acc: 0.74, Val loss: 0.6237831711769104
Dataset: IMDB-BINARY, Model: GCN, Seed: 61314, Aug: DropEdge, Best epoch: 8, Test acc: 0.74, Test loss: 0.5049318075180054, Val acc: 0.75, Val loss: 0.5665296912193298
Dataset: IMDB-BINARY, Model: GCN, Seed: 61314, Aug: DropNode, Best epoch: 11, Test acc: 0.745, Test loss: 0.5209535741806031, Val acc: 0.76, Val loss: 0.5289759635925293
Dataset: IMDB-BINARY, Model: GCN, Seed: 71314, Aug: Vanilla, Best epoch: 4, Test acc: 0.71, Test loss: 0.5559602355957032, Val acc: 0.76, Val loss: 0.6368566751480103
Dataset: IMDB-BINARY, Model: GCN, Seed: 71314, Aug: G-Mixup, Best epoch: 96, Test acc: 0.7, Test loss: 0.5328035688400269, Val acc: 0.74, Val loss: 0.5436245203018188
Dataset: IMDB-BINARY, Model: GCN, Seed: 71314, Aug: Subgraph, Best epoch: 18, Test acc: 0.71, Test loss: 0.6125438833236694, Val acc: 0.76, Val loss: 0.7691497206687927
Dataset: IMDB-BINARY, Model: GCN, Seed: 71314, Aug: DropEdge, Best epoch: 6, Test acc: 0.67, Test loss: 0.5662486672401428, Val acc: 0.75, Val loss: 0.5486334562301636
Dataset: IMDB-BINARY, Model: GCN, Seed: 71314, Aug: DropNode, Best epoch: 19, Test acc: 0.735, Test loss: 0.5551810789108277, Val acc: 0.74, Val loss: 0.5958805680274963
Dataset: IMDB-BINARY, Model: GCN, Seed: 0, Aug: Vanilla, Best epoch: 60, Test acc: 0.72, Test loss: 0.5523781943321228, Val acc: 0.79, Val loss: 0.5630006790161133
Dataset: IMDB-BINARY, Model: GCN, Seed: 0, Aug: G-Mixup, Best epoch: 158, Test acc: 0.645, Test loss: 0.8784246301651001, Val acc: 0.79, Val loss: 0.7740064859390259
Dataset: IMDB-BINARY, Model: GCN, Seed: 0, Aug: Subgraph, Best epoch: 48, Test acc: 0.715, Test loss: 2.5664210224151613, Val acc: 0.78, Val loss: 2.291033983230591
Dataset: IMDB-BINARY, Model: GCN, Seed: 0, Aug: DropEdge, Best epoch: 16, Test acc: 0.705, Test loss: 0.7091416335105896, Val acc: 0.77, Val loss: 0.6091063022613525
Dataset: IMDB-BINARY, Model: GCN, Seed: 0, Aug: DropNode, Best epoch: 44, Test acc: 0.66, Test loss: 1.569220962524414, Val acc: 0.78, Val loss: 1.2793256044387817
Dataset: IMDB-BINARY, Model: GCN, Seed: 546464, Aug: Vanilla, Best epoch: 151, Test acc: 0.68, Test loss: 0.9558682060241699, Val acc: 0.79, Val loss: 0.8126217126846313
Dataset: IMDB-BINARY, Model: GCN, Seed: 546464, Aug: G-Mixup, Best epoch: 17, Test acc: 0.75, Test loss: 0.5062126004695893, Val acc: 0.79, Val loss: 0.47804251313209534
Dataset: IMDB-BINARY, Model: GCN, Seed: 546464, Aug: Subgraph, Best epoch: 23, Test acc: 0.735, Test loss: 0.7317389917373657, Val acc: 0.79, Val loss: 0.4545384347438812
Dataset: IMDB-BINARY, Model: GCN, Seed: 546464, Aug: DropEdge, Best epoch: 48, Test acc: 0.74, Test loss: 1.853437795639038, Val acc: 0.8, Val loss: 0.7490370869636536
Dataset: IMDB-BINARY, Model: GCN, Seed: 546464, Aug: DropNode, Best epoch: 45, Test acc: 0.725, Test loss: 1.5898086738586426, Val acc: 0.78, Val loss: 0.7778908610343933
Dataset: IMDB-BINARY, Model: GIN, Seed: 1314, Aug: Vanilla, Best epoch: 86, Test acc: 0.745, Test loss: 0.49530704498291017, Val acc: 0.7, Val loss: 0.7873403429985046
Dataset: IMDB-BINARY, Model: GIN, Seed: 1314, Aug: G-Mixup, Best epoch: 247, Test acc: 0.735, Test loss: 0.6384128117561341, Val acc: 0.71, Val loss: 1.2925293445587158
Dataset: IMDB-BINARY, Model: GIN, Seed: 1314, Aug: Subgraph, Best epoch: 10, Test acc: 0.74, Test loss: 0.5461037302017212, Val acc: 0.74, Val loss: 0.7075636982917786
Dataset: IMDB-BINARY, Model: GIN, Seed: 1314, Aug: DropEdge, Best epoch: 4, Test acc: 0.685, Test loss: 0.6147548699378967, Val acc: 0.7, Val loss: 0.6192705035209656
Dataset: IMDB-BINARY, Model: GIN, Seed: 1314, Aug: DropNode, Best epoch: 82, Test acc: 0.655, Test loss: 1.091140661239624, Val acc: 0.7, Val loss: 2.242192268371582
Dataset: IMDB-BINARY, Model: GIN, Seed: 11314, Aug: Vanilla, Best epoch: 121, Test acc: 0.7, Test loss: 1.0472982788085938, Val acc: 0.77, Val loss: 0.8061392307281494
Dataset: IMDB-BINARY, Model: GIN, Seed: 11314, Aug: G-Mixup, Best epoch: 51, Test acc: 0.73, Test loss: 0.608127920627594, Val acc: 0.79, Val loss: 0.4988367557525635
Dataset: IMDB-BINARY, Model: GIN, Seed: 11314, Aug: Subgraph, Best epoch: 19, Test acc: 0.72, Test loss: 0.6461573624610901, Val acc: 0.76, Val loss: 0.6005032062530518
Dataset: IMDB-BINARY, Model: GIN, Seed: 11314, Aug: DropEdge, Best epoch: 58, Test acc: 0.72, Test loss: 0.9688483476638794, Val acc: 0.8, Val loss: 0.974174976348877
Dataset: IMDB-BINARY, Model: GIN, Seed: 11314, Aug: DropNode, Best epoch: 22, Test acc: 0.76, Test loss: 0.5532199597358703, Val acc: 0.79, Val loss: 0.5349243879318237
Dataset: IMDB-BINARY, Model: GIN, Seed: 21314, Aug: Vanilla, Best epoch: 93, Test acc: 0.695, Test loss: 0.657346224784851, Val acc: 0.82, Val loss: 0.5395435094833374
Dataset: IMDB-BINARY, Model: GIN, Seed: 21314, Aug: G-Mixup, Best epoch: 264, Test acc: 0.73, Test loss: 0.77064058303833, Val acc: 0.82, Val loss: 0.5668755769729614
Dataset: IMDB-BINARY, Model: GIN, Seed: 21314, Aug: Subgraph, Best epoch: 18, Test acc: 0.665, Test loss: 0.6518133616447449, Val acc: 0.78, Val loss: 0.5454318523406982
Dataset: IMDB-BINARY, Model: GIN, Seed: 21314, Aug: DropEdge, Best epoch: 13, Test acc: 0.705, Test loss: 0.6132615184783936, Val acc: 0.78, Val loss: 0.5512039065361023
Dataset: IMDB-BINARY, Model: GIN, Seed: 21314, Aug: DropNode, Best epoch: 28, Test acc: 0.645, Test loss: 0.803110237121582, Val acc: 0.81, Val loss: 0.5058508515357971
Dataset: IMDB-BINARY, Model: GIN, Seed: 31314, Aug: Vanilla, Best epoch: 53, Test acc: 0.7, Test loss: 0.6289106059074402, Val acc: 0.8, Val loss: 0.5910197496414185
Dataset: IMDB-BINARY, Model: GIN, Seed: 31314, Aug: G-Mixup, Best epoch: 41, Test acc: 0.71, Test loss: 0.6444285774230957, Val acc: 0.77, Val loss: 0.5417794585227966
Dataset: IMDB-BINARY, Model: GIN, Seed: 31314, Aug: Subgraph, Best epoch: 70, Test acc: 0.665, Test loss: 3.3123852157592775, Val acc: 0.79, Val loss: 3.816086769104004
Dataset: IMDB-BINARY, Model: GIN, Seed: 31314, Aug: DropEdge, Best epoch: 6, Test acc: 0.645, Test loss: 0.6666844272613526, Val acc: 0.76, Val loss: 0.534436047077179
Dataset: IMDB-BINARY, Model: GIN, Seed: 31314, Aug: DropNode, Best epoch: 4, Test acc: 0.73, Test loss: 0.5298102974891663, Val acc: 0.82, Val loss: 0.47695183753967285
Dataset: IMDB-BINARY, Model: GIN, Seed: 41314, Aug: Vanilla, Best epoch: 8, Test acc: 0.74, Test loss: 0.5632133102416992, Val acc: 0.76, Val loss: 0.5060257315635681
Dataset: IMDB-BINARY, Model: GIN, Seed: 41314, Aug: G-Mixup, Best epoch: 122, Test acc: 0.77, Test loss: 0.6084685611724854, Val acc: 0.78, Val loss: 0.525422990322113
Dataset: IMDB-BINARY, Model: GIN, Seed: 41314, Aug: Subgraph, Best epoch: 63, Test acc: 0.695, Test loss: 0.8585753989219665, Val acc: 0.77, Val loss: 0.5908477306365967
Dataset: IMDB-BINARY, Model: GIN, Seed: 41314, Aug: DropEdge, Best epoch: 124, Test acc: 0.71, Test loss: 11.827085533142089, Val acc: 0.79, Val loss: 4.050372123718262
Dataset: IMDB-BINARY, Model: GIN, Seed: 41314, Aug: DropNode, Best epoch: 65, Test acc: 0.725, Test loss: 1.1197723531723023, Val acc: 0.82, Val loss: 0.49160489439964294
Dataset: IMDB-BINARY, Model: GIN, Seed: 51314, Aug: Vanilla, Best epoch: 24, Test acc: 0.69, Test loss: 0.5535016036033631, Val acc: 0.85, Val loss: 0.3892675042152405
Dataset: IMDB-BINARY, Model: GIN, Seed: 51314, Aug: G-Mixup, Best epoch: 164, Test acc: 0.74, Test loss: 0.9113238143920899, Val acc: 0.84, Val loss: 0.3974243998527527
Dataset: IMDB-BINARY, Model: GIN, Seed: 51314, Aug: Subgraph, Best epoch: 43, Test acc: 0.71, Test loss: 0.6926358342170715, Val acc: 0.83, Val loss: 0.5115733742713928
Dataset: IMDB-BINARY, Model: GIN, Seed: 51314, Aug: DropEdge, Best epoch: 19, Test acc: 0.755, Test loss: 0.5847547459602356, Val acc: 0.81, Val loss: 0.5961064696311951
Dataset: IMDB-BINARY, Model: GIN, Seed: 51314, Aug: DropNode, Best epoch: 24, Test acc: 0.69, Test loss: 0.5998234224319458, Val acc: 0.81, Val loss: 0.44907867908477783
Dataset: IMDB-BINARY, Model: GIN, Seed: 61314, Aug: Vanilla, Best epoch: 70, Test acc: 0.745, Test loss: 0.6360192823410035, Val acc: 0.77, Val loss: 0.6281704902648926
Dataset: IMDB-BINARY, Model: GIN, Seed: 61314, Aug: G-Mixup, Best epoch: 96, Test acc: 0.715, Test loss: 0.6472601735591889, Val acc: 0.75, Val loss: 0.6632369160652161
Dataset: IMDB-BINARY, Model: GIN, Seed: 61314, Aug: Subgraph, Best epoch: 15, Test acc: 0.75, Test loss: 0.5004517352581024, Val acc: 0.75, Val loss: 0.5273957848548889
Dataset: IMDB-BINARY, Model: GIN, Seed: 61314, Aug: DropEdge, Best epoch: 13, Test acc: 0.75, Test loss: 0.6226617479324341, Val acc: 0.76, Val loss: 0.6002201437950134
Dataset: IMDB-BINARY, Model: GIN, Seed: 61314, Aug: DropNode, Best epoch: 17, Test acc: 0.735, Test loss: 0.5378176021575928, Val acc: 0.75, Val loss: 0.609093427658081
Dataset: IMDB-BINARY, Model: GIN, Seed: 71314, Aug: Vanilla, Best epoch: 25, Test acc: 0.765, Test loss: 0.5312776696681977, Val acc: 0.77, Val loss: 0.6173901557922363
Dataset: IMDB-BINARY, Model: GIN, Seed: 71314, Aug: G-Mixup, Best epoch: 127, Test acc: 0.72, Test loss: 0.7631193590164185, Val acc: 0.77, Val loss: 0.5861607193946838
Dataset: IMDB-BINARY, Model: GIN, Seed: 71314, Aug: Subgraph, Best epoch: 65, Test acc: 0.71, Test loss: 3.773001346588135, Val acc: 0.75, Val loss: 4.58540678024292
Dataset: IMDB-BINARY, Model: GIN, Seed: 71314, Aug: DropEdge, Best epoch: 6, Test acc: 0.715, Test loss: 0.5183737337589264, Val acc: 0.73, Val loss: 0.5752147436141968
Dataset: IMDB-BINARY, Model: GIN, Seed: 71314, Aug: DropNode, Best epoch: 26, Test acc: 0.705, Test loss: 0.5843304920196534, Val acc: 0.75, Val loss: 0.6162846088409424
Dataset: IMDB-BINARY, Model: GIN, Seed: 0, Aug: Vanilla, Best epoch: 44, Test acc: 0.74, Test loss: 0.8085222959518432, Val acc: 0.83, Val loss: 0.663326621055603
Dataset: IMDB-BINARY, Model: GIN, Seed: 0, Aug: G-Mixup, Best epoch: 288, Test acc: 0.665, Test loss: 1.0810671329498291, Val acc: 0.83, Val loss: 0.5556207895278931
Dataset: IMDB-BINARY, Model: GIN, Seed: 0, Aug: Subgraph, Best epoch: 4, Test acc: 0.66, Test loss: 0.5897344589233399, Val acc: 0.78, Val loss: 0.46960070729255676
Dataset: IMDB-BINARY, Model: GIN, Seed: 0, Aug: DropEdge, Best epoch: 54, Test acc: 0.705, Test loss: 0.7250962901115418, Val acc: 0.8, Val loss: 0.5818650126457214
Dataset: IMDB-BINARY, Model: GIN, Seed: 0, Aug: DropNode, Best epoch: 73, Test acc: 0.705, Test loss: 1.0987833833694458, Val acc: 0.81, Val loss: 0.6900534629821777
Dataset: IMDB-BINARY, Model: GIN, Seed: 546464, Aug: Vanilla, Best epoch: 107, Test acc: 0.68, Test loss: 0.9548254752159119, Val acc: 0.79, Val loss: 0.6473680138587952
Dataset: IMDB-BINARY, Model: GIN, Seed: 546464, Aug: G-Mixup, Best epoch: 22, Test acc: 0.705, Test loss: 0.5974213504791259, Val acc: 0.76, Val loss: 0.5999849438667297
Dataset: IMDB-BINARY, Model: GIN, Seed: 546464, Aug: Subgraph, Best epoch: 38, Test acc: 0.665, Test loss: 0.8609090495109558, Val acc: 0.79, Val loss: 0.6187988519668579
Dataset: IMDB-BINARY, Model: GIN, Seed: 546464, Aug: DropEdge, Best epoch: 7, Test acc: 0.73, Test loss: 0.6221682691574096, Val acc: 0.79, Val loss: 0.6587129235267639
Dataset: IMDB-BINARY, Model: GIN, Seed: 546464, Aug: DropNode, Best epoch: 46, Test acc: 0.68, Test loss: 0.8033316349983215, Val acc: 0.79, Val loss: 0.5452054738998413
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 1314, Aug: Vanilla, Best epoch: 1, Test acc: 0.68, Test loss: 0.6505913066864014, Val acc: 0.7, Val loss: 0.6391023397445679
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 1314, Aug: G-Mixup, Best epoch: 11, Test acc: 0.74, Test loss: 0.4886691105365753, Val acc: 0.7, Val loss: 0.5686315298080444
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 1314, Aug: Subgraph, Best epoch: 1, Test acc: 0.675, Test loss: 0.7012959885597229, Val acc: 0.7, Val loss: 0.6841049194335938
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 1314, Aug: DropEdge, Best epoch: 15, Test acc: 0.715, Test loss: 0.49881709933280943, Val acc: 0.7, Val loss: 0.5988045334815979
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 1314, Aug: DropNode, Best epoch: 1, Test acc: 0.685, Test loss: 0.5900718784332275, Val acc: 0.72, Val loss: 0.5944802761077881
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 11314, Aug: Vanilla, Best epoch: 57, Test acc: 0.745, Test loss: 0.5974209928512573, Val acc: 0.77, Val loss: 0.7009084820747375
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 11314, Aug: G-Mixup, Best epoch: 8, Test acc: 0.725, Test loss: 0.49598260402679445, Val acc: 0.74, Val loss: 0.5639820694923401
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 11314, Aug: Subgraph, Best epoch: 4, Test acc: 0.68, Test loss: 0.5367184734344482, Val acc: 0.73, Val loss: 0.5742526054382324
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 11314, Aug: DropEdge, Best epoch: 5, Test acc: 0.69, Test loss: 0.5231925177574158, Val acc: 0.74, Val loss: 0.561043381690979
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 11314, Aug: DropNode, Best epoch: 4, Test acc: 0.675, Test loss: 0.5351122760772705, Val acc: 0.74, Val loss: 0.5814799666404724
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 21314, Aug: Vanilla, Best epoch: 27, Test acc: 0.71, Test loss: 0.514998128414154, Val acc: 0.8, Val loss: 0.43553707003593445
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 21314, Aug: G-Mixup, Best epoch: 90, Test acc: 0.69, Test loss: 0.721008939743042, Val acc: 0.81, Val loss: 0.5618588924407959
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 21314, Aug: Subgraph, Best epoch: 15, Test acc: 0.72, Test loss: 0.5808377504348755, Val acc: 0.78, Val loss: 0.43739986419677734
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 21314, Aug: DropEdge, Best epoch: 19, Test acc: 0.715, Test loss: 0.525890543460846, Val acc: 0.8, Val loss: 0.4234620928764343
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 21314, Aug: DropNode, Best epoch: 12, Test acc: 0.69, Test loss: 0.6186792659759521, Val acc: 0.8, Val loss: 0.4759221374988556
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 31314, Aug: Vanilla, Best epoch: 10, Test acc: 0.695, Test loss: 0.5477396106719971, Val acc: 0.78, Val loss: 0.43520405888557434
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 31314, Aug: G-Mixup, Best epoch: 16, Test acc: 0.71, Test loss: 0.5208034801483155, Val acc: 0.78, Val loss: 0.49168044328689575
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 31314, Aug: Subgraph, Best epoch: 5, Test acc: 0.72, Test loss: 0.5033973789215088, Val acc: 0.79, Val loss: 0.4360218346118927
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 31314, Aug: DropEdge, Best epoch: 15, Test acc: 0.68, Test loss: 0.6907245278358459, Val acc: 0.82, Val loss: 0.48334434628486633
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 31314, Aug: DropNode, Best epoch: 9, Test acc: 0.73, Test loss: 0.524741415977478, Val acc: 0.82, Val loss: 0.4400905668735504
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 41314, Aug: Vanilla, Best epoch: 3, Test acc: 0.725, Test loss: 0.5125902724266053, Val acc: 0.75, Val loss: 0.5028162598609924
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 41314, Aug: G-Mixup, Best epoch: 3, Test acc: 0.71, Test loss: 0.510427691936493, Val acc: 0.72, Val loss: 0.5022067427635193
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 41314, Aug: Subgraph, Best epoch: 15, Test acc: 0.755, Test loss: 0.55082670211792, Val acc: 0.74, Val loss: 0.5682116150856018
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 41314, Aug: DropEdge, Best epoch: 3, Test acc: 0.785, Test loss: 0.48167106628417966, Val acc: 0.73, Val loss: 0.48846369981765747
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 41314, Aug: DropNode, Best epoch: 18, Test acc: 0.76, Test loss: 0.4880007457733154, Val acc: 0.75, Val loss: 0.5113754868507385
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 51314, Aug: Vanilla, Best epoch: 19, Test acc: 0.685, Test loss: 0.6691035556793213, Val acc: 0.83, Val loss: 0.3865569829940796
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 51314, Aug: G-Mixup, Best epoch: 80, Test acc: 0.76, Test loss: 0.8615401363372803, Val acc: 0.85, Val loss: 0.36472466588020325
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 51314, Aug: Subgraph, Best epoch: 11, Test acc: 0.705, Test loss: 0.5569697666168213, Val acc: 0.84, Val loss: 0.3849238157272339
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 51314, Aug: DropEdge, Best epoch: 4, Test acc: 0.72, Test loss: 0.5299377775192261, Val acc: 0.84, Val loss: 0.42086297273635864
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 51314, Aug: DropNode, Best epoch: 6, Test acc: 0.72, Test loss: 0.5702984309196473, Val acc: 0.83, Val loss: 0.3981255292892456
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 61314, Aug: Vanilla, Best epoch: 5, Test acc: 0.76, Test loss: 0.49144803881645205, Val acc: 0.81, Val loss: 0.5185344219207764
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 61314, Aug: G-Mixup, Best epoch: 58, Test acc: 0.75, Test loss: 0.8036699557304382, Val acc: 0.76, Val loss: 0.7921338081359863
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 61314, Aug: Subgraph, Best epoch: 8, Test acc: 0.725, Test loss: 0.4981612288951874, Val acc: 0.8, Val loss: 0.5151647329330444
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 61314, Aug: DropEdge, Best epoch: 5, Test acc: 0.745, Test loss: 0.4790673780441284, Val acc: 0.78, Val loss: 0.5441572070121765
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 61314, Aug: DropNode, Best epoch: 9, Test acc: 0.745, Test loss: 0.47677295446395873, Val acc: 0.78, Val loss: 0.5264875292778015
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 71314, Aug: Vanilla, Best epoch: 6, Test acc: 0.715, Test loss: 0.5102932190895081, Val acc: 0.77, Val loss: 0.5117594003677368
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 71314, Aug: G-Mixup, Best epoch: 13, Test acc: 0.745, Test loss: 0.5227554225921631, Val acc: 0.78, Val loss: 0.5111746788024902
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 71314, Aug: Subgraph, Best epoch: 3, Test acc: 0.71, Test loss: 0.5038471579551697, Val acc: 0.79, Val loss: 0.5070090293884277
Dataset: IMDB-BINARY, Model: MinCutPool, Seed: 71314, Aug: DropEdge, Best epoch: 5, Test acc: 0.685, Test loss: 0.5460582637786865, Val acc: 0.74, Val loss: 0.5546448230743408
